Países,Tasa de mortalidad en siniestros de tránsito por cada 100 000 habitantes,"Tasa de mortalidad en siniestros de tránsito por cada 100 000 vehículos 
motorizados","Tasa de mortalidad en siniestros de tránsito por cada 1 000 000 kilómetros 
por vehículo [5]​","Total fallecidos
año más reciente
(ajustado/estimado
por el OMS)","Año, fuente
(fuente principal:
Reporte del OMS de 2015
Informaciones de 2013)",Nivel de Ingreso (según el reporte de la OMS de 2015),Tránsito por el lado izquierdo o derecho
Nigeria,20.5,"615,4",n/a,35 621,2013,Medio,Derecho
Noruega,"2,2","3,1",n/a,112,2017[9]​,Alto,Derecho
Nueva Zelanda,"8,5[10]​","12,2","8,7[11]​",398,2017[12]​,Alto,Izquierdo
Omán,"25,4","85,3",n/a,924,2013,Alto,Derecho
Países Bajos,"3,4",6,"4,5",574,2013,Alto,Derecho
Pakistán,"14,2","283,9",n/a,25 781,2013,Medio,Izquierdo
Palaos,"4,8","14,1",n/a,1,2013,Medio,Derecho
Panamá,10,"38,4",n/a,386,2013,Medio,Derecho
Papúa Nueva Guinea,"16,8","1306,5",n/a,1232,2013,Medio,Izquierdo
Paraguay,20.7,"114,7",n/a,1408,2013,Medio,Derecho
Perú,"13,9","99,3",n/a,4234,2013,Medio,Derecho
Polonia,10.3,"15,8",n/a,3931,2013,Alto,Derecho
Portugal,"7,8","13,7",n/a,828,2013,Alto,Derecho
Reino Unido,"2,9","5,1","3,6",1827,2013,Alto,Izquierdo
Rumania,"8,7","31,4",n/a,1881,2013,Medio,Derecho
Rusia,"18,9","53,4",n/a,27 025,2013,Alto,Derecho
Ruanda,"32,1","3521,1",n/a,3782,2013,Bajo,Derecho
Santa Lucía,"18,1","2103,3",n/a,33,2013,Medio,Izquierdo
San Vincente y las Granadinas,"8,2","31,7",n/a,9,2013,Medio,Izquierdo
Samoa,"15,8","171,9",n/a,30,2013,Medio,Izquierdo
San Marino,"3,2","1,8",n/a,1,2013,Alto,Derecho
Santo Tomé y Príncipe,"31,1","5454,5",n/a,60,2013,Medio,Derecho
Senegal,"27,2","956,4",n/a,3844,2013,Medio,Derecho
Serbia,10.4,"34,5",n/a,735,2013,Medio,Derecho
Seychelles,"8,6",43,n/a,8,2013,Medio,Izquierdo
Sierra Leona,"27,3","2414,2",n/a,1661,2013,Bajo,Derecho
Singapur,"3,6",20.2,n/a,197,2013,Alto,Izquierdo
Islas Solomon,"19,2",240,n/a,108,2013,Medio,Izquierdo
Somalia,"25,4",4480.5,n/a,2664,2013,Bajo,Derecho
Sri Lanka,"17,4",70.9,n/a,3691,2013,Medio,Izquierdo
Sudáfrica,"25,1","133,9",n/a,13 273,2013,Medio,Izquierdo
Sudán,"24,3","2872,8",n/a,9221,2013,Medio,Derecho
Surinam,"19,1","49,7",n/a,103,2013,Medio,Izquierdo
Suazilandia,"24,2","1667,4",n/a,303,2013,Medio,Izquierdo
Suecia,"2,8","4,7","3,5",272,2013,Alto,Derecho
Suiza,"2,6","3,6","3,6",216,2016[13]​[14]​[15]​,Alto,Derecho
Taiwan,"6,8",n/a,n/a,1604,2016[16]​,Alto,Derecho
Tanzania,"32,9","1073,7",n/a,16 211,2013,Bajo,Izquierdo
Tailandia,"36,2","74,6",n/a,24 237,2013,Medio,Izquierdo
Tayikistán,"18,8","374,9",n/a,1543,2013,Bajo,Derecho
Timor Oriental,"16,6","295,8",n/a,188,2013,Medio,Izquierdo
Togo,"31,1","3653,4",n/a,2123,2013,Bajo,Derecho
Tonga,"7,6","98,1",n/a,8,2013,Medio,Izquierdo
Trinidad y Tobago,"14,1","58,9",n/a,189,2013,Alto,Izquierdo
Túnez,"24,4","154,4",n/a,2679,2013,Medio,Derecho
Turquía,"8,9","37,3",n/a,6687,2013,Medio,Derecho
Turkmenistán,"17,4","107,8",n/a,914,2009,Medio,Derecho
Ucrania,"13,5","35,3",n/a,5099,2012[17]​,Medio,Derecho
Uganda,"27,4","836,8",n/a,10 280,2013,Bajo,Izquierdo
Uruguay,"16,6","28,5",n/a,567,2013,Alto,Derecho
Uzbekistán,"11,2",,n/a,3240,2013,Medio,Derecho
Vanuatu,"16,6",300,n/a,42,2013,Medio,Derecho
Vietnam,"24,5",55,n/a,22 419,2013,Medio,Derecho
Yemen,"21,5","436,6",n/a,5248,2013,Medio,Derecho
Yibuti,"24,7",n/a,n/a,216,2013,Medio,Derecho
Zambia,"24,7",670.9,n/a,3586,2013,Medio,Izquierdo
Zimbabue,"28,2","429,8",n/a,3985,2013,Bajo,Izquierdo
